Name;Prefix;Type;SSIS2012;SSIS2012VS2015;SSIS2014;SSIS2016
Script Component;SCR;Transformation;Microsoft.SqlServer.Dts.Pipeline.ScriptComponentHost, Microsoft.SqlServer.TxScript, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Pipeline.ScriptComponentHost, Microsoft.SqlServer.TxScript, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.ScriptComponentHost;Microsoft.ScriptComponentHost
Script Task;SCR;Task;Microsoft.SqlServer.Dts.Tasks.ScriptTask.ScriptTask, Microsoft.SqlServer.ScriptTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.ScriptTask.ScriptTask, Microsoft.SqlServer.ScriptTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.ScriptTask;Microsoft.ScriptTask
Send Mail Task;SMT;Task;Microsoft.SqlServer.Dts.Tasks.SendMailTask.SendMailTask, Microsoft.SqlServer.SendMailTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.SendMailTask.SendMailTask, Microsoft.SqlServer.SendMailTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SendMailTask;Microsoft.SendMailTask
Sequence Container;SEQC;Container;STOCK:SEQUENCE;STOCK:SEQUENCE;STOCK:SEQUENCE;STOCK:SEQUENCE
Shrink Database Task;SHRINKDB;Task;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceShrinkTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceShrinkTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DbMaintenanceShrinkTask;Microsoft.DbMaintenanceShrinkTask
Slowly Changing Dimension;SCD;Transformation;{25BBB0C5-369B-4303-B3DF-D0DC741DEE58};DTSTransform.SCD.3;Microsoft.SCD;Microsoft.SCD
Sort;SRT;Transformation;{5B1A3FF5-D366-4D75-AD1F-F19A36FCBEDB};DTSTransform.Sort.3;Microsoft.Sort;Microsoft.Sort
SQL Server Compact Destination;SSC_DST;Destination;Microsoft.SqlServer.Dts.Pipeline.SqlCEDestinationAdapter, Microsoft.SqlServer.SqlCEDest, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Pipeline.SqlCEDestinationAdapter, Microsoft.SqlServer.SqlCEDest, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlCEDestinationAdapter;Microsoft.SqlCEDestinationAdapter
SQL Server Destination;SS_DST;Destination;{F452EAF3-5EF0-43F1-8067-09DDF0BC6316};DTSAdapter.SQLServerDestination.3;Microsoft.SQLServerDestination;Microsoft.SQLServerDestination
Term Extraction;TEX;Transformation;{056F53D1-8081-4D07-8134-1D4DAC244BB2};DTSTransform.TermExtraction.3;Microsoft.TermExtraction;Microsoft.TermExtraction
Term Lookup;TEL;Transformation;{ACCC729A-823D-49A7-B16D-F1999AEB1D4C};DTSTransform.TermLookup.3;Microsoft.TermLookup;Microsoft.TermLookup
Transfer Database Task;TDB;Task;Microsoft.SqlServer.Dts.Tasks.TransferDatabaseTask.TransferDatabaseTask, Microsoft.SqlServer.TransferDatabasesTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.TransferDatabaseTask.TransferDatabaseTask, Microsoft.SqlServer.TransferDatabasesTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.TransferDatabaseTask;Microsoft.TransferDatabaseTask
Transfer Error Messages Task;TEM;Task;Microsoft.SqlServer.Dts.Tasks.TransferErrorMessagesTask.TransferErrorMessagesTask, Microsoft.SqlServer.TransferErrorMessagesTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.TransferErrorMessagesTask.TransferErrorMessagesTask, Microsoft.SqlServer.TransferErrorMessagesTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.TransferErrorMessagesTask;Microsoft.TransferErrorMessagesTask
Transfer Jobs Task;TJT;Task;Microsoft.SqlServer.Dts.Tasks.TransferJobsTask.TransferJobsTask, Microsoft.SqlServer.TransferJobsTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.TransferJobsTask.TransferJobsTask, Microsoft.SqlServer.TransferJobsTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.TransferJobsTask;Microsoft.TransferJobsTask
Transfer Logins Task;TLT;Task;Microsoft.SqlServer.Dts.Tasks.TransferLoginsTask.TransferLoginsTask, Microsoft.SqlServer.TransferLoginsTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.TransferLoginsTask.TransferLoginsTask, Microsoft.SqlServer.TransferLoginsTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.TransferLoginsTask;Microsoft.TransferLoginsTask
Transfer Master Stored Procedures Task;TSP;Task;Microsoft.SqlServer.Dts.Tasks.TransferStoredProceduresTask.TransferStoredProceduresTask, Microsoft.SqlServer.TransferStoredProceduresTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.TransferStoredProceduresTask.TransferStoredProceduresTask, Microsoft.SqlServer.TransferStoredProceduresTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.TransferStoredProceduresTask;Microsoft.TransferStoredProceduresTask
Transfer SQL Server Objects Task;TSO;Task;Microsoft.SqlServer.Dts.Tasks.TransferSqlServerObjectsTask.TransferSqlServerObjectsTask, Microsoft.SqlServer.TransferSqlServerObjectsTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.TransferSqlServerObjectsTask.TransferSqlServerObjectsTask, Microsoft.SqlServer.TransferSqlServerObjectsTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.TransferSqlServerObjectsTask;Microsoft.TransferSqlServerObjectsTask
Union All;ALL;Transformation;{B594E9A8-4351-4939-891C-CFE1AB93E925};DTSTransform.UnionAll.3;Microsoft.UnionAll;Microsoft.UnionAll
Unpivot;UPVT;Transformation;{B8B094A9-8809-4E06-8874-5C55606A9FDF};DTSTransform.UnPivot.3;Microsoft.UnPivot;Microsoft.UnPivot
Update Statistics Task;STAT;Task;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceUpdateStatisticsTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceUpdateStatisticsTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DbMaintenanceUpdateStatisticsTask;Microsoft.DbMaintenanceUpdateStatisticsTask
Web Service Task;WST;Task;Microsoft.SqlServer.Dts.Tasks.WebServiceTask.WebServiceTask, Microsoft.SqlServer.WebServiceTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.WebServiceTask.WebServiceTask, Microsoft.SqlServer.WebServiceTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.WebServiceTask;Microsoft.WebServiceTask
WMI Data Reader Task;WMID;Task;Microsoft.SqlServer.Dts.Tasks.WmiDataReaderTask.WmiDataReaderTask, Microsoft.SqlServer.WMIDRTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.WmiDataReaderTask.WmiDataReaderTask, Microsoft.SqlServer.WMIDRTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.WmiDataReaderTask;Microsoft.WmiDataReaderTask
WMI Event Watcher Task;WMIE;Task;Microsoft.SqlServer.Dts.Tasks.WmiEventWatcherTask.WmiEventWatcherTask, Microsoft.SqlServer.WMIEWTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.WmiEventWatcherTask.WmiEventWatcherTask, Microsoft.SqlServer.WMIEWTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.WmiEventWatcherTask;Microsoft.WmiEventWatcherTask
XML Source;XML_SRC;Source;Microsoft.SqlServer.Dts.Pipeline.XmlSourceAdapter, Microsoft.SqlServer.XmlSrc, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Pipeline.XmlSourceAdapter, Microsoft.SqlServer.XmlSrc, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.XmlSourceAdapter;Microsoft.XmlSourceAdapter
XML Task;XML;Task;Microsoft.SqlServer.Dts.Tasks.XMLTask.XMLTask, Microsoft.SqlServer.XMLTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.XMLTask.XMLTask, Microsoft.SqlServer.XMLTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.XMLTask;Microsoft.XMLTask
SharePoint List Destination;SPL_DST;Destination;Microsoft.Samples.SqlServer.SSIS.SharePointListAdapters.SharePointListDestination, SharePointListAdapters, Version=1.2012.0.0, Culture=neutral, PublicKeyToken=f4b3011e1ece9d47;Microsoft.Samples.SqlServer.SSIS.SharePointListAdapters.SharePointListDestination, SharePointListAdapters, Version=1.2012.0.0, Culture=neutral, PublicKeyToken=f4b3011e1ece9d47;MicrosoftSamples.SharePointListDestination;MicrosoftSamples.SharePointListDestination
SharePoint List Source;SPL_SRC;Source;Microsoft.Samples.SqlServer.SSIS.SharePointListAdapters.SharePointListSource, SharePointListAdapters, Version=1.2012.0.0, Culture=neutral, PublicKeyToken=f4b3011e1ece9d47;Microsoft.Samples.SqlServer.SSIS.SharePointListAdapters.SharePointListSource, SharePointListAdapters, Version=1.2012.0.0, Culture=neutral, PublicKeyToken=f4b3011e1ece9d47;MicrosoftSamples.SharePointListSource;MicrosoftSamples.SharePointListSource
